originalID,rdf:type,hasScopeID,timeScopeID
1,sio:Human,,
2,sio:Human,,
3,sio:Human,,
4,sio:Human,,
5,sio:Human,,
6,sio:Human,,
7,sio:Human,,
8,sio:Human,,
9,sio:Human,,
10,sio:Human,,
11,sio:Human,,
12,sio:Human,,
13,sio:Human,,
14,sio:Human,,
15,sio:Human,,
16,sio:Human,,
17,sio:Human,,
18,sio:Human,,
19,sio:Human,,
20,sio:Human,,
21,sio:Human,,
22,sio:Human,,
23,sio:Human,,
24,sio:Human,,
25,sio:Human,,
26,sio:Human,,
27,sio:Human,,
28,sio:Human,,
29,sio:Human,,
30,sio:Human,,
31,sio:Human,,
32,sio:Human,,
33,sio:Human,,
34,sio:Human,,
35,sio:Human,,
36,sio:Human,,
37,sio:Human,,
38,sio:Human,,
39,sio:Human,,
40,sio:Human,,
41,sio:Human,,
42,sio:Human,,
43,sio:Human,,
44,sio:Human,,
45,sio:Human,,
46,sio:Human,,
47,sio:Human,,
48,sio:Human,,
49,sio:Human,,